_id,case_enquiry_id,open_dt,sla_target_dt,closed_dt,on_time,case_status,closure_reason,case_title,subject,reason,type,queue,department,submitted_photo,closed_photo,location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,location_street_name,location_zipcode,latitude,longitude,geom_4326,source,combined_info
12,101004113367,2022-01-01 03:29:00,,2022-01-04 09:35:43,ONTIME,Closed,Case Closed. Closed date : 2022-01-04 14:35:43.96 Case Resolved Patricia Jones Sat  Jan 1  10:18 AM (3 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  1/1/22Area described an email is Billings Field patrolled the area also patrolled the field they were new off leash dogs at this time there was no callback number to reconnect with the caller (Jones) ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Bellevue Hill Rd & West Roxbury Pkwy  Roslindale  MA  ,12,06,6,E5,West Roxbury,12,20,2010,INTERSECTION Bellevue Hill Rd & West Roxbury Pkwy,,42.27904717500383,-71.14260064304722,0101000020E6100000B091725E20C951C061575DD1B7234540,Constituent Call,Case Closed. Closed date : 2022-01-04 14:35:43.96 Case Resolved Patricia Jones Sat  Jan 1  10:18 AM (3 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  1/1/22Area described an email is Billings Field patrolled the area also patrolled the field they were new off leash dogs at this time there was no callback number to reconnect with the caller (Jones)  Animal Generic Request
14,101004113371,2022-01-01 03:33:00,,2022-01-04 09:19:18,ONTIME,Closed,Case Closed. Closed date : 2022-01-04 14:19:18.623 Case Resolved Patrolled area and was able to locate dogs. Callers number went to voicemail left message (Jones) ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,263 Lexington St  East Boston  MA  02128,1,09,1,A7,East Boston,1,Ward 1,0109,263 Lexington St,2128.0,42.38029948258977,-71.03009033510276,0101000020E61000004A4C0300EDC151C0533448A7AD304540,Constituent Call,Case Closed. Closed date : 2022-01-04 14:19:18.623 Case Resolved Patrolled area and was able to locate dogs. Callers number went to voicemail left message (Jones)  Animal Generic Request
28,101004113396,2022-01-01 04:32:00,,2022-01-04 09:37:15,ONTIME,Closed,Case Closed. Closed date : 2022-01-04 14:37:15.603 Case Resolved Patricia Jones Sat  Jan 1  10:59 AM (3 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  1/1/22-unable to locate this dog (Jones) ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,20 Patterson Way  South Boston  MA  02127,6,05,2,C6,South Boston / South Boston Waterfront,5,07,0705,20 Patterson Way,2127.0,42.33095809543112,-71.05203895552879,0101000020E61000004E07339B54C351C08E1CBAD55C2A4540,Constituent Call,Case Closed. Closed date : 2022-01-04 14:37:15.603 Case Resolved Patricia Jones Sat  Jan 1  10:59 AM (3 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  1/1/22-unable to locate this dog (Jones)  Animal Generic Request
88,101004113509,2022-01-01 07:38:00,,2022-01-04 09:39:32,ONTIME,Closed,Case Closed. Closed date : 2022-01-04 14:39:32.623 Case Resolved Bradley Munroe Sat  Jan 1  1:19 PM (3 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  I patrolled the park no loose dogs were found. Munroe110  ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,300 Gardner St  West Roxbury  MA  02132,12,06,6,E5,West Roxbury,12,20,2017,300 Gardner St,2132.0,42.282168034186526,-71.1810299690684,0101000020E6100000A92FB9FE95CB51C0646707151E244540,Constituent Call,Case Closed. Closed date : 2022-01-04 14:39:32.623 Case Resolved Bradley Munroe Sat  Jan 1  1:19 PM (3 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  I patrolled the park no loose dogs were found. Munroe110   Animal Generic Request
326,101004113866,2022-01-02 04:49:00,,2022-01-04 12:26:31,ONTIME,Closed,Case Closed. Closed date : 2022-01-04 17:26:31.203 Case Resolved Jones Jan 2  2022  11:07 AM (2 days ago) to Mayor  Alexis  Chayla  Stephen  Leon  Patrick  Tanicia  Danny  Anthony  Walter  Maryanne  Bradley  Brittany  Michael  Lauren  Emily  Catherine  Ian  Maia  Robyn  Keith  Sarah  1/2/22- Picked up dog and transported to COB animal shelter (Jones#113) ,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,126 Trenton St  East Boston  MA  02128,1,09,1,A7,East Boston,1,Ward 1,0108,126 Trenton St,2128.0,42.37963948864495,-71.03480034668526,0101000020E6100000C5B93B2B3AC251C00700DA0698304540,Constituent Call,Case Closed. Closed date : 2022-01-04 17:26:31.203 Case Resolved Jones Jan 2  2022  11:07 AM (2 days ago) to Mayor  Alexis  Chayla  Stephen  Leon  Patrick  Tanicia  Danny  Anthony  Walter  Maryanne  Bradley  Brittany  Michael  Lauren  Emily  Catherine  Ian  Maia  Robyn  Keith  Sarah  1/2/22- Picked up dog and transported to COB animal shelter (Jones#113)  Animal Found
473,101004114095,2022-01-02 09:40:00,,2022-01-04 12:28:39,ONTIME,Closed,Case Closed. Closed date : 2022-01-04 17:28:39.607 Case Resolved Jenner Sun  Jan 2  3:24 PM (2 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Picked up the dog bringing it to the shelter ,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,20 Greenock St  Dorchester  MA  02124,8,07,4,B3,Greater Mattapan,9,Ward 14,1411,20 Greenock St,2124.0,42.29013956964287,-71.09044067138616,0101000020E61000003D75ABC7C9C551C021721D4B23254540,Constituent Call,Case Closed. Closed date : 2022-01-04 17:28:39.607 Case Resolved Jenner Sun  Jan 2  3:24 PM (2 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Picked up the dog bringing it to the shelter  Animal Found
1118,101004115171,2022-01-03 12:21:00,,2022-01-04 07:38:02,ONTIME,Closed,Case Closed. Closed date : 2022-01-04 12:38:02.763 Case Resolved Unable to locate the dog  looked with the constituent. MS 107 ,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,INTERSECTION of Lyall St & VFW Pkwy  West Roxbury  MA  ,12,06,6,E5,West Roxbury,12,20,2017,INTERSECTION Lyall St & VFW Pkwy,,42.29222636699245,-71.16508682927925,0101000020E61000004D3059C890CA51C078A170AC67254540,Constituent Call,Case Closed. Closed date : 2022-01-04 12:38:02.763 Case Resolved Unable to locate the dog  looked with the constituent. MS 107  Animal Found
1139,101004115202,2022-01-03 13:19:00,,2022-01-04 07:31:09,ONTIME,Closed,Case Closed. Closed date : 2022-01-04 12:31:09.91 Case Resolved Capture of the dogs and transporting to the shelter. MS107 ,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,263 Blue Hill Ave  Roxbury  MA  02119,9,10B,7,B2,Roxbury,13,12,1206,263 Blue Hill Ave,2119.0,42.31510857768932,-71.07878059757212,0101000020E61000006C88C6BD0AC551C0AEEE557A55284540,Constituent Call,Case Closed. Closed date : 2022-01-04 12:31:09.91 Case Resolved Capture of the dogs and transporting to the shelter. MS107  Animal Found
1766,101004116237,2022-01-04 12:44:00,,2022-01-07 05:55:24,ONTIME,Closed,Case Closed. Closed date : 2022-01-07 10:55:24.997 Case Resolved Alexis Trzcinski Thu  Jan 6  6:12 PM (16 hours ago) to 311reply  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  I spoke with the resident about the many calls that have been filed. Animal Control officers have not found the dog to be barking incessantly and the pet owner has responded that they are being harassed. Additionally  caller has communicated multiple quality of life concerns separate  but not entirely so  from the dog issue. The concerns communicated appear to be more serious in nature  but are outside the Divisions purview. I offered to contact City Council on callers behalf  caller declined the offer.  This afternoon I spoke with the area CSO at the callers request. BPD advised that the dog has not been barking during their responses.  ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,71 Mount Hope St  Roslindale  MA  02131,12,02,5,E18,Roslindale,10,Ward 18,1807,71 Mount Hope St,2131.0,42.28318960753075,-71.11647074584913,0101000020E61000003717B74174C751C0B1749B8E3F244540,Constituent Call,Case Closed. Closed date : 2022-01-07 10:55:24.997 Case Resolved Alexis Trzcinski Thu  Jan 6  6:12 PM (16 hours ago) to 311reply  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  I spoke with the resident about the many calls that have been filed. Animal Control officers have not found the dog to be barking incessantly and the pet owner has responded that they are being harassed. Additionally  caller has communicated multiple quality of life concerns separate  but not entirely so  from the dog issue. The concerns communicated appear to be more serious in nature  but are outside the Divisions purview. I offered to contact City Council on callers behalf  caller declined the offer.  This afternoon I spoke with the area CSO at the callers request. BPD advised that the dog has not been barking during their responses.   Animal Generic Request
2263,101004116996,2022-01-05 07:28:00,,2022-01-05 09:18:35,ONTIME,Closed,Case Closed. Closed date : 2022-01-05 14:18:35.687 Case Resolved Arrived at the location the woman and the dog and owner of the dog were not at the park any longer I made contact with the caller She was shooken up But she wasnt bitten the dog jumped on her and startled her but the dog is gone and the woman is home safe and OK we do not have a dog owner or a dog here ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of M St & E Broadway  South Boston  MA  ,6,05,2,C6,South Boston / South Boston Waterfront,5,6,0607,INTERSECTION M St & E Broadway,,42.335666538261606,-71.03335392557314,0101000020E6100000E9E1807822C251C0FA18021FF72A4540,Constituent Call,Case Closed. Closed date : 2022-01-05 14:18:35.687 Case Resolved Arrived at the location the woman and the dog and owner of the dog were not at the park any longer I made contact with the caller She was shooken up But she wasnt bitten the dog jumped on her and startled her but the dog is gone and the woman is home safe and OK we do not have a dog owner or a dog here  Animal Generic Request
2415,101004117267,2022-01-05 11:11:00,,2022-01-05 11:31:37,ONTIME,Closed,Case Closed. Closed date : 2022-01-05 16:31:37.723 Case Resolved  told 311 that if the woman does not want her dog anymore that she should take it to a shelter and sign it over and tell them that she does not want it but shes not supposed to just let it out of the house and have animal control chase the dog around I 311 to tell her to surrender the dog to a shelter during business hours animal control is not responsible to chase peoples dogs because they dont want them anymore  ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,162 Heath St  Jamaica Plain  MA  02130,9,10A,6,E13,Jamaica Plain,11,Ward 10,1006,162 Heath St,2130.0,42.32576958374817,-71.10387062204778,0101000020E6100000772DF7D0A5C651C06E1D56D1B2294540,Constituent Call,Case Closed. Closed date : 2022-01-05 16:31:37.723 Case Resolved  told 311 that if the woman does not want her dog anymore that she should take it to a shelter and sign it over and tell them that she does not want it but shes not supposed to just let it out of the house and have animal control chase the dog around I 311 to tell her to surrender the dog to a shelter during business hours animal control is not responsible to chase peoples dogs because they dont want them anymore   Animal Generic Request
2446,101004117319,2022-01-05 12:34:00,,2022-01-06 08:54:43,ONTIME,Closed,Case Closed. Closed date : 2022-01-06 13:54:43.577 Case Resolved Munroe Wed  Jan 5  6:19 PM (19 hours ago) to 311reply  alexis.trzcinski  anthony.fabiano  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  I transported the dog to angell. Munroe110  ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,57 Horan Way  Jamaica Plain  MA  02130,9,10A,6,E13,Jamaica Plain,11,10,1006,57 Horan Way,2130.0,42.32548470229487,-71.10357908671745,0101000020E610000010802D0AA1C651C036DA937BA9294540,Constituent Call,Case Closed. Closed date : 2022-01-06 13:54:43.577 Case Resolved Munroe Wed  Jan 5  6:19 PM (19 hours ago) to 311reply  alexis.trzcinski  anthony.fabiano  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  I transported the dog to angell. Munroe110   Animal Generic Request
