_id,case_enquiry_id,open_dt,sla_target_dt,closed_dt,on_time,case_status,closure_reason,case_title,subject,reason,type,queue,department,submitted_photo,closed_photo,location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,location_street_name,location_zipcode,latitude,longitude,geom_4326,source,combined_info
4812,101003153759,2020-01-07 12:01:51,,2020-01-07 12:10:53,ONTIME,Closed,Case Closed. Closed date : 2020-01-07 17:10:53.01 Constituent called back stating that the dog was found. ,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,767 Shawmut Ave  Mission Hill  MA  02119,9,10B,7,B2,Mission Hill,13,09,0905,767 Shawmut Ave,2119.0,42.33152879781765,-71.08476463936216,0101000020E6100000BC7AAAC86CC551C08E2720896F2A4540,Constituent Call,Case Closed. Closed date : 2020-01-07 17:10:53.01 Constituent called back stating that the dog was found.  Animal Found
4813,101003153762,2020-01-07 12:05:00,,2020-01-07 12:10:10,ONTIME,Closed,Case Closed. Closed date : 2020-01-07 17:10:10.923 Constituent called back stating that the dog was found. ,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,767 Shawmut Ave  Mission Hill  MA  02119,9,10B,7,B2,Mission Hill,13,09,0905,767 Shawmut Ave,2119.0,42.33152879781765,-71.08476463936216,0101000020E6100000BC7AAAC86CC551C08E2720896F2A4540,Constituent Call,Case Closed. Closed date : 2020-01-07 17:10:10.923 Constituent called back stating that the dog was found.  Animal Found
11644,101003171892,2020-01-17 01:51:00,,2020-01-17 02:14:48,ONTIME,Closed,Case Closed. Closed date : 2020-01-17 07:14:48.133 BPD called to cancel.Owner removed dog from under vehicle. ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,17 Undine Rd  Brighton  MA  02135,11,04,9,D14,Brighton,15,22,2208,17 Undine Rd,2135.0,42.34215266420093,-71.16652972618844,0101000020E6100000A3F24B6CA8CA51C0BB7D93A8CB2B4540,Constituent Call,Case Closed. Closed date : 2020-01-17 07:14:48.133 BPD called to cancel.Owner removed dog from under vehicle.  Animal Generic Request
12513,101003172940,2020-01-18 19:02:39,,2020-01-18 19:05:09,ONTIME,Closed,Case Closed. Closed date : 2020-01-19 00:05:09.743 Case Resolved Constituent was able to find owner of lost dog before case could be submitted. Animal Control Officer notified there was no need to go out. ,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,66 W Rutland Sq  Roxbury  MA  02118,4,1C,7,D4,South End,6,Ward 4,0404,66 W Rutland Sq,2118.0,42.34298954951097,-71.08000052963332,0101000020E6100000059C8ABA1EC551C07B02E114E72B4540,Constituent Call,Case Closed. Closed date : 2020-01-19 00:05:09.743 Case Resolved Constituent was able to find owner of lost dog before case could be submitted. Animal Control Officer notified there was no need to go out.  Animal Found
26445,101003189208,2020-02-06 19:38:00,,2020-02-06 19:53:38,ONTIME,Closed,Case Closed. Closed date : 2020-02-07 00:53:38.543 Case Resolved BFD reporting they were able to locate owner and owner now has dog. Notified Jones 12:52 AM. ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,23 Bremen St  East Boston  MA  02128,1,09,1,A7,East Boston,1,Ward 1,0103,23 Bremen St,2128.0,42.369069493531406,-71.03829037808819,0101000020E6100000FA687C5973C251C097554EAB3D2F4540,Constituent Call,Case Closed. Closed date : 2020-02-07 00:53:38.543 Case Resolved BFD reporting they were able to locate owner and owner now has dog. Notified Jones 12:52 AM.  Animal Generic Request
31777,101003195460,2020-02-15 15:14:00,,2020-02-15 15:28:23,ONTIME,Closed,Case Closed. Closed date : 2020-02-15 20:28:23.007 Case Noted Constituent found dog owner ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Harold St & Waumbeck St  Dorchester  MA  ,9,10B,9,B2,Roxbury,13,12,1208,INTERSECTION Harold St & Waumbeck St,,42.315315889547605,-71.09072012004732,0101000020E6100000512CC35BCEC551C010C264455C284540,Constituent Call,Case Closed. Closed date : 2020-02-15 20:28:23.007 Case Noted Constituent found dog owner  Animal Generic Request
31782,101003195468,2020-02-15 15:51:12,,2020-02-15 16:10:33,ONTIME,Closed,Case Closed. Closed date : 2020-02-15 21:10:33.657 Case Noted BPD picked up the dog ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,123 Howland St  Dorchester  MA  02121,9,10B,7,B2,Roxbury,13,Ward 12,1208,123 Howland St,2121.0,42.31476956702208,-71.09037061651975,0101000020E6100000309ED6A1C8C551C06611825E4A284540,Constituent Call,Case Closed. Closed date : 2020-02-15 21:10:33.657 Case Noted BPD picked up the dog  Animal Generic Request
48418,101003215073,2020-03-11 13:28:00,,2020-03-11 15:28:00,ONTIME,Closed,Case Closed. Closed date : 2020-03-11 19:28:00.963 Case Resolved dog found ,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,185 Fulton St  Boston  MA  02109,3,1B,1,A1,Downtown / Financial District,3,Ward 3,0301,185 Fulton St,2109.0,42.36319951162989,-71.05201042191794,0101000020E6100000144C852354C351C0D02F54527D2E4540,Constituent Call,Case Closed. Closed date : 2020-03-11 19:28:00.963 Case Resolved dog found  Animal Lost
50361,101003217537,2020-03-15 14:56:00,,2020-03-15 15:25:36,ONTIME,Closed,Case Closed. Closed date : 2020-03-15 19:25:36.61 Case Resolved Constituent called back to report that the dog was picked up by the owner. ,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,1868 Centre St  West Roxbury  MA  02132,12,06,6,E5,West Roxbury,12,Ward 20,2018,1868 Centre St,2132.0,42.285879660794976,-71.15506082687159,0101000020E610000078133F84ECC951C05EDA68B497244540,Constituent Call,Case Closed. Closed date : 2020-03-15 19:25:36.61 Case Resolved Constituent called back to report that the dog was picked up by the owner.  Animal Found
52825,101003241034,2020-03-20 14:30:00,,2020-03-20 14:33:36,ONTIME,Closed,Case Closed. Closed date : 2020-03-20 18:33:36.03 Case Resolved Constituent called back to report that they had locaeted the owner of the dog. ,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,78 W Cottage St  Dorchester  MA  02125,7,03,7,B2,Dorchester,13,07,0710,78 W Cottage St,2125.0,42.3203657833509,-71.07625329080236,0101000020E6100000588D7B55E1C451C0F11FF9BE01294540,Constituent Call,Case Closed. Closed date : 2020-03-20 18:33:36.03 Case Resolved Constituent called back to report that they had locaeted the owner of the dog.  Animal Found
72038,101003267716,2020-05-03 07:47:00,,2020-05-03 08:12:09,ONTIME,Closed,Case Closed. Closed date : 2020-05-03 12:12:09.307 Case Resolved Owner picked up dog. ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,97 Whitford St  Roslindale  MA  02131,12,06,5,E5,Roslindale,10,Ward 18,1809,97 Whitford St,2131.0,42.27871962214287,-71.12647077804348,0101000020E61000002CE6E31818C851C0B6EDA615AD234540,Constituent Call,Case Closed. Closed date : 2020-05-03 12:12:09.307 Case Resolved Owner picked up dog.  Animal Generic Request
72295,101003268189,2020-05-04 01:22:00,,2020-05-04 01:58:00,ONTIME,Closed,Case Closed. Closed date : 2020-05-04 05:58:00.62 Case Resolved Constituent friend/family member is picking up the dog. ,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,101 W Broadway   South Boston  MA  02127,6,05,2,C6,South Boston,5,06,0601,101 W Broadway ,2127.0,42.34119940302275,-71.05491851719324,0101000020E61000008CD2F4C883C351C0DFB20A6CAC2B4540,Constituent Call,Case Closed. Closed date : 2020-05-04 05:58:00.62 Case Resolved Constituent friend/family member is picking up the dog.  Animal Found
78323,101003276082,2020-05-13 15:15:17,,2020-05-13 15:21:36,ONTIME,Closed,Case Closed. Closed date : 2020-05-13 19:21:36.507 Case Resolved constituent connected with constituent who reported dog lost earlier ,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,4 Monument Sq  Charlestown  MA  02129,3,1A,1,A15,Charlestown,2,Ward 2,0203,4 Monument Sq,2129.0,42.37556352116597,-71.06001641265712,0101000020E61000007A65144FD7C351C03E7D287712304540,Constituent Call,Case Closed. Closed date : 2020-05-13 19:21:36.507 Case Resolved constituent connected with constituent who reported dog lost earlier  Animal Lost
80632,101003279115,2020-05-17 14:15:00,,2020-05-17 14:28:13,ONTIME,Closed,Case Closed. Closed date : 2020-05-17 18:28:13.003 Case Resolved A constituent who found the dog called 311. The owner was contacted and they will pick up the their dog from the constituent who found it.   ,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,111 Sherman Rd  Chestnut Hill  MA  02467,12,06,6,E5,West Roxbury,12,Ward 20,2020,111 Sherman Rd,2467.0,42.29930966258009,-71.15870080484615,0101000020E610000070AA6B2728CA51C043146EC74F264540,Constituent Call,Case Closed. Closed date : 2020-05-17 18:28:13.003 Case Resolved A constituent who found the dog called 311. The owner was contacted and they will pick up the their dog from the constituent who found it.    Animal Lost
83839,101003293149,2020-05-21 12:54:00,,2020-05-21 13:50:53,ONTIME,Closed,Case Closed. Closed date : 2020-05-21 17:50:53.4 Case Resolved Constituent found the dog ,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,73 Ridgewood St  Dorchester  MA  02122,7,03,4,C11,Dorchester,8,Ward 15,1505,73 Ridgewood St,2122.0,42.30230953265896,-71.064290585387,0101000020E6100000626B42561DC451C007052A14B2264540,Constituent Call,Case Closed. Closed date : 2020-05-21 17:50:53.4 Case Resolved Constituent found the dog  Animal Lost
84829,101003294479,2020-05-23 07:02:00,,2020-05-23 07:32:06,ONTIME,Closed,Case Closed. Closed date : 2020-05-23 11:32:06.473 Case Resolved Owner picked up Lost dog ,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,60 Arborough Rd  Roslindale  MA  02131,9,06,5,E5,Roslindale,10,Ward 20,2004,60 Arborough Rd,2131.0,42.290809620990096,-71.12729075281567,0101000020E61000004C1B1D8825C851C0DFC1E93F39254540,Constituent Call,Case Closed. Closed date : 2020-05-23 11:32:06.473 Case Resolved Owner picked up Lost dog  Animal Found
