_id,case_enquiry_id,open_dt,sla_target_dt,closed_dt,on_time,case_status,closure_reason,case_title,subject,reason,type,queue,department,submitted_photo,closed_photo,location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,location_street_name,location_zipcode,latitude,longitude,geom_4326,source,combined_info
934,101003580061,2021-01-03 03:52:00,,2021-01-04 10:22:31,ONTIME,Closed,Case Closed. Closed date : 2021-01-04 15:22:31.523 Case Noted  Daniel Gillis <daniel.gillis@boston.gov> Sun  Jan 3  9:01 AM (1 day ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  chayla.white  lauren.lopes  leon.graves  maryanne.jenner  michael.stern  pat.conroy  patricia.jones  stephen.norton  tanicia.drigo  walter.egan  Unable to locate the dog hit by car  no contact number was provided   ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Melnea Cass Blvd & Washington St  Roxbury  MA  ,7,10B,9,D4,Roxbury,13,9,0803,INTERSECTION Melnea Cass Blvd & Washington St,,42.33296386826611,-71.08099654841706,0101000020E610000092A2250C2FC551C0EF795E8F9E2A4540,Constituent Call,Case Closed. Closed date : 2021-01-04 15:22:31.523 Case Noted  Daniel Gillis <daniel.gillis@boston.gov> Sun  Jan 3  9:01 AM (1 day ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  chayla.white  lauren.lopes  leon.graves  maryanne.jenner  michael.stern  pat.conroy  patricia.jones  stephen.norton  tanicia.drigo  walter.egan  Unable to locate the dog hit by car  no contact number was provided    Animal Generic Request
971,101003580102,2021-01-03 05:01:00,,2021-01-04 10:23:54,ONTIME,Closed,Case Closed. Closed date : 2021-01-04 15:23:54.507 Case Resolved No dogs were seen off leash   patrolled inside arboretum near area described also no dogs off leash ( Jones #113) ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Centre St & Allandale St  Jamaica Plain  MA  ,9,02,6,E13,Jamaica Plain,11,19,1902,INTERSECTION Centre St & Allandale St,,42.3001763901741,-71.12792820609836,0101000020E61000006B5BC9F92FC851C0206A112E6C264540,Constituent Call,Case Closed. Closed date : 2021-01-04 15:23:54.507 Case Resolved No dogs were seen off leash   patrolled inside arboretum near area described also no dogs off leash ( Jones #113)  Animal Generic Request
1102,101003580274,2021-01-03 10:04:00,,2021-01-03 11:29:03,ONTIME,Closed,Case Closed. Closed date : 2021-01-03 16:29:03.307 Case Resolved Officer Jones reports  unable to locate described dog. No exact address or call back number provided . Did patrol area ( Jones #113)  ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Park St & Washington St  Dorchester  MA  ,8,03,4,B3,Dorchester,9,17,1703,INTERSECTION Park St & Washington St,,42.29549647111217,-71.07211446449101,0101000020E6100000ADA3FC859DC451C04EC10FD4D2254540,Constituent Call,Case Closed. Closed date : 2021-01-03 16:29:03.307 Case Resolved Officer Jones reports  unable to locate described dog. No exact address or call back number provided . Did patrol area ( Jones #113)   Animal Generic Request
1382,101003580598,2021-01-04 04:10:00,,2021-01-04 10:44:01,ONTIME,Closed,Case Closed. Closed date : 2021-01-04 15:44:01.127 Case Resolved Unable to locate dog  patrolled area (Jones #113) ,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,INTERSECTION of Homestead St & Humboldt Ave  Dorchester  MA  ,9,10B,9,B2,Roxbury,13,12,1209,INTERSECTION Homestead St & Humboldt Ave,,42.31190415838132,-71.0904958032915,0101000020E6100000FCE3E8AECAC551C0F9DDB779EC274540,Constituent Call,Case Closed. Closed date : 2021-01-04 15:44:01.127 Case Resolved Unable to locate dog  patrolled area (Jones #113)  Animal Found
1844,101003581171,2021-01-04 11:22:00,,2021-01-04 12:32:37,ONTIME,Closed,Case Closed. Closed date : 2021-01-04 17:32:37.357 Case Resolved Went to location stayed for 15 minutes . There were no off leash dogs at all three leashed and kids playing    Jenner ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,55 Winthrop St  Charlestown  MA  02129,3,1A,1,A15,Charlestown,2,02,0203,55 Winthrop St,2129.0,42.3744431011454,-71.06036092107259,0101000020E6100000A57D0DF4DCC351C0F0D064C0ED2F4540,Constituent Call,Case Closed. Closed date : 2021-01-04 17:32:37.357 Case Resolved Went to location stayed for 15 minutes . There were no off leash dogs at all three leashed and kids playing    Jenner  Animal Generic Request
3254,101003582952,2021-01-06 11:26:00,,2021-01-06 15:32:04,ONTIME,Closed,Case Closed. Closed date : 2021-01-06 20:32:04.103 Case Resolved Officer Jenner reports  dog was transported to the animal shelter.  ,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,78 Mayfield St  Dorchester  MA  02125,7,03,3,C11,Dorchester,7,Ward 13,1306,78 Mayfield St,2125.0,42.31680952615668,-71.06063454486927,0101000020E61000002BCEB66FE1C351C0BCF3EC368D284540,Constituent Call,Case Closed. Closed date : 2021-01-06 20:32:04.103 Case Resolved Officer Jenner reports  dog was transported to the animal shelter.   Animal Lost
4624,101003584654,2021-01-08 14:26:00,,2021-01-08 16:26:00,ONTIME,Closed,Case Closed. Closed date : 2021-01-08 21:26:00.28 Case Noted Officer Munroe reports  I was unable to locate dogs. ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,83 Seminole St  Mattapan  MA  02126,8,08,5,E18,Hyde Park,10,Ward 18,1806,83 Seminole St,2126.0,42.27131959990587,-71.1100507578836,0101000020E6100000A58055120BC751C0052EC499BA224540,Constituent Call,Case Closed. Closed date : 2021-01-08 21:26:00.28 Case Noted Officer Munroe reports  I was unable to locate dogs.  Animal Generic Request
4649,101003584688,2021-01-08 16:45:00,,2021-01-08 18:00:31,ONTIME,Closed,Case Closed. Closed date : 2021-01-08 23:00:31.547 Case Resolved Officer Munroe reports. dog was transported to the animal shelter.  ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,708 Walk Hill St  Mattapan  MA  02126,8,07,4,B3,Greater Mattapan,9,Ward 14,1408,708 Walk Hill St,2126.0,42.27784957652784,-71.09405070714845,0101000020E610000092D741ED04C651C07F322E9390234540,Constituent Call,Case Closed. Closed date : 2021-01-08 23:00:31.547 Case Resolved Officer Munroe reports. dog was transported to the animal shelter.   Animal Generic Request
4704,101003584777,2021-01-09 03:56:00,,2021-01-09 12:27:29,ONTIME,Closed,Case Closed. Closed date : 2021-01-09 17:27:29.77 Case Resolved Officer Fabiano reports  responded to the above location. I spoke with the owner of the dogs. I explained about the barking Ord. Her dogs were in the yard & barking. I cited her.  ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,24 Countryside Dr  Mattapan  MA  02126,8,07,3,B3,Dorchester,7,Ward 17,1714,24 Countryside Dr,2126.0,42.27607955324339,-71.07738067387535,0101000020E6100000C6E811CEF3C451C02823269356234540,Constituent Call,Case Closed. Closed date : 2021-01-09 17:27:29.77 Case Resolved Officer Fabiano reports  responded to the above location. I spoke with the owner of the dogs. I explained about the barking Ord. Her dogs were in the yard & barking. I cited her.   Animal Generic Request
4735,101003584820,2021-01-09 05:01:00,,2021-01-09 12:25:52,ONTIME,Closed,Case Closed. Closed date : 2021-01-09 17:25:52.94 Case Noted Officer Fabiano reports  responded to the above location. The dog owner left when I pulled. After that all dogs were leashed   ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,110 Atlantic Ave  Boston  MA  02110,3,1B,1,A1,Boston,3,03,0301,110 Atlantic Ave,2110.0,42.36099473721792,-71.052183414871,0101000020E6100000EE101BF956C351C085305713352E4540,Constituent Call,Case Closed. Closed date : 2021-01-09 17:25:52.94 Case Noted Officer Fabiano reports  responded to the above location. The dog owner left when I pulled. After that all dogs were leashed    Animal Generic Request
